"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24054	Outremont	Outremont	Green Party of Canada	Le Parti Vert du Canada	Tarabey	Grace			30-Aug-21	5:30:00
24055	Papineau	Papineau	Bloc Québécois	Bloc Québécois	Ben Youssef	Nabila			30-Aug-21	3:30:00
24055	Papineau	Papineau	People's Party of Canada	Parti populaire du Canada	Boutin	Christian			29-Aug-21	5:30:00
24055	Papineau	Papineau	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Colly	Garnet		(613) 792-4475	26-Aug-21	4:00:00
24055	Papineau	Papineau	Green Party of Canada	Le Parti Vert du Canada	Lepine	Alain			26-Aug-21	5:30:00
24055	Papineau	Papineau	Independent	Indépendant(e)	Martin	Raymond			30-Aug-21	9:00:00
24055	Papineau	Papineau	New Democratic Party	Nouveau Parti démocratique	Paré	Christine			26-Aug-21	4:00:00
24055	Papineau	Papineau	Conservative Party of Canada	Parti conservateur du Canada	Rivera	Julio			25-Aug-21	5:30:00
24055	Papineau	Papineau	Liberal Party of Canada	Parti libéral du Canada	Trudeau	Justin		(514) 448-5372	27-Aug-21	5:00:00
24055	Papineau	Papineau	Independent	Indépendant(e)	ZAKO	BÉATRICE			30-Aug-21	11:00:00
24055	Papineau	Papineau	Parti Rhinocéros Party	Parti Rhinocéros Party	Znoneofthe	Above		(438) 275-9428	30-Aug-21	10:00:00
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	Bloc Québécois	Bloc Québécois	Bourque	Nadia			29-Aug-21	9:00:00
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	Conservative Party of Canada	Parti conservateur du Canada	Roberts	Terry		(514) 533-0147	24-Aug-21	9:30:00
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	People's Party of Canada	Parti populaire du Canada	Sibthorpe	Mark			25-Aug-21	7:00:00
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	New Democratic Party	Nouveau Parti démocratique	Tumbar	Maninderjit Kaur			28-Aug-21	8:30:00
24056	Pierrefonds--Dollard	Pierrefonds--Dollard	Liberal Party of Canada	Parti libéral du Canada	Zuberi	Sameer			25-Aug-21	9:00:00
24057	Pontiac	Pontiac	Liberal Party of Canada	Parti libéral du Canada	Chatel	Sophie		(514) 651-5917	27-Aug-21	12:00:00
24057	Pontiac	Pontiac	Bloc Québécois	Bloc Québécois	Desjardins	Gabrielle			27-Aug-21	12:00:00
24057	Pontiac	Pontiac	Conservative Party of Canada	Parti conservateur du Canada	Gauthier	Michel		(819) 462-0593	27-Aug-21	12:00:00
24057	Pontiac	Pontiac	New Democratic Party	Nouveau Parti démocratique	Giroux	Denise		(613) 612-5363	28-Aug-21	12:00:00
24057	Pontiac	Pontiac	People's Party of Canada	Parti populaire du Canada	Gottfred	David Bruce			30-Aug-21	8:00:00
24057	Pontiac	Pontiac	Free Party Canada	Parti Libre Canada	Labonté-Chartrand	Geneviève		(438) 938-4802	28-Aug-21	12:00:00
24057	Pontiac	Pontiac	Green Party of Canada	Le Parti Vert du Canada	McArthur	Shaughn			27-Aug-21	12:00:00
24057	Pontiac	Pontiac	Canada's Fourth Front	Quatrième front du Canada	McNair	James		(416) 613-1571	27-Aug-21	12:00:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Liberal Party of Canada	Parti libéral du Canada	Diallo	Sani			29-Aug-21	5:45:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Free Party Canada	Parti Libre Canada	Fiset	Charles			30-Aug-21	2:23:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	New Democratic Party	Nouveau Parti démocratique	Gagnon	David-Roger			28-Aug-21	9:55:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Conservative Party of Canada	Parti conservateur du Canada	Godin	Joël		(418) 575-6158	24-Aug-21	12:35:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Bloc Québécois	Bloc Québécois	Hébert	Christian		(581) 988-6090	25-Aug-21	2:54:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	People's Party of Canada	Parti populaire du Canada	Mathieu	Nash			28-Aug-21	2:35:00
24058	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Parti Rhinocéros Party	Parti Rhinocéros Party	Pelletier	Tommy			29-Aug-21	8:50:00
24059	Québec	Québec	Conservative Party of Canada	Parti conservateur du Canada	Boutin	Bianca			22-Aug-21	12:00:00
24059	Québec	Québec	People's Party of Canada	Parti populaire du Canada	Brisson	Daniel			29-Aug-21	12:00:00
24059	Québec	Québec	New Democratic Party	Nouveau Parti démocratique	Bureau	Tommy			26-Aug-21	12:00:00
24059	Québec	Québec	Liberal Party of Canada	Parti libéral du Canada	Duclos	Jean-Yves			22-Aug-21	12:00:00
24059	Québec	Québec	Green Party of Canada	Le Parti Vert du Canada	Kerr	Patrick			22-Aug-21	12:00:00
24059	Québec	Québec	Bloc Québécois	Bloc Québécois	Sansfaçon	Louis		1 888 448-1880	24-Aug-21	12:00:00
24059	Québec	Québec	Free Party Canada	Parti Libre Canada	Simard	Karine			30-Aug-21	12:00:00
24060	Repentigny	Repentigny	Conservative Party of Canada	Parti conservateur du Canada	Bapfou Vozang Siewe	Pascal			28-Aug-21	8:30:00
24060	Repentigny	Repentigny	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Boucher Granger	Micheline			30-Aug-21	9:30:00
24060	Repentigny	Repentigny	Free Party Canada	Parti Libre Canada	Duval	Pierre			31-Aug-21	2:00:00
24060	Repentigny	Repentigny	Liberal Party of Canada	Parti libéral du Canada	Kernizan	Yvelie			28-Aug-21	6:00:00
24060	Repentigny	Repentigny	New Democratic Party	Nouveau Parti démocratique	Mathieu Chauvette	Naomie			29-Aug-21	2:30:00
24060	Repentigny	Repentigny	Bloc Québécois	Bloc Québécois	Pauzé	Monique			26-Aug-21	2:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	New Democratic Party	Nouveau Parti démocratique	Bureau	Nataël			29-Aug-21	5:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	Parti Rhinocéros Party	Parti Rhinocéros Party	Delisle	Marjolaine			28-Aug-21	2:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	Liberal Party of Canada	Parti libéral du Canada	Desmarais	Alexandre			30-Aug-21	6:30:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	People's Party of Canada	Parti populaire du Canada	Fougeron	Nadine			30-Aug-21	6:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	Conservative Party of Canada	Parti conservateur du Canada	Rayes	Alain			20-Aug-21	3:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	Free Party Canada	Parti Libre Canada	Richard	Louis			30-Aug-21	6:00:00
24061	Richmond--Arthabaska	Richmond--Arthabaska	Bloc Québécois	Bloc Québécois	Scalzo	Diego			26-Aug-21	1:00:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Free Party Canada	Parti Libre Canada	Beauséjour	Valérie		(855) 402-0855	30-Aug-21	3:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Bute	Julius			30-Aug-21	9:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Bloc Québécois	Bloc Québécois	Desilets	Luc			20-Aug-21	11:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Parti Patriote	Parti Patriote	Dionne	Michael		(438) 498-1557	30-Aug-21	2:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Conservative Party of Canada	Parti conservateur du Canada	Duffy-Vincelette	Marc		(450) 280-0244	24-Aug-21	7:00:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	New Democratic Party	Nouveau Parti démocratique	Hakizimana	Joseph			29-Aug-21	12:00:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Liberal Party of Canada	Parti libéral du Canada	Lapointe	Linda		(450) 323-0241	26-Aug-21	9:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	People's Party of Canada	Parti populaire du Canada	Roker Jr	Hans			30-Aug-21	8:30:00
24062	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Green Party of Canada	Le Parti Vert du Canada	Ware	Alec			30-Aug-21	4:30:00
24063	Rivière-du-Nord	Rivière-du-Nord	Liberal Party of Canada	Parti libéral du Canada	Bajkin	Theodora			30-Aug-21	2:30:00
24063	Rivière-du-Nord	Rivière-du-Nord	Free Party Canada	Parti Libre Canada	Damour	Marie-Eve			28-Aug-21	3:30:00
24063	Rivière-du-Nord	Rivière-du-Nord	Bloc Québécois	Bloc Québécois	FORTIN	Rhéal		(450) 327-5574	20-Aug-21	8:30:00
24063	Rivière-du-Nord	Rivière-du-Nord	Conservative Party of Canada	Parti conservateur du Canada	Morrissette	Patricia		(450) 327-5304	26-Aug-21	12:00:00
24063	Rivière-du-Nord	Rivière-du-Nord	New Democratic Party	Nouveau Parti démocratique	Paspaliaris	Mary-Helen		1 866 525-2555	28-Aug-21	7:00:00
24063	Rivière-du-Nord	Rivière-du-Nord	People's Party of Canada	Parti populaire du Canada	Ravanshid	Keeyan		(450) 327-0485	29-Aug-21	6:00:00
24063	Rivière-du-Nord	Rivière-du-Nord	Parti Rhinocéros Party	Parti Rhinocéros Party	René	Jean-François		(450) 979-0766	25-Aug-21	2:00:00
24063	Rivière-du-Nord	Rivière-du-Nord	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Riqueur-Lainé	Nicolas			27-Aug-21	8:00:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	New Democratic Party	Nouveau Parti démocratique	Boulerice	Alexandre		(438) 380-4505	21-Aug-21	9:00:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Desrochers	Gisèle		(613) 792-4475	28-Aug-21	12:00:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Liberal Party of Canada	Parti libéral du Canada	Drolet	Nancy		(514) 701-2021	27-Aug-21	9:30:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Green Party of Canada	Le Parti Vert du Canada	Fiori	Franco			30-Aug-21	7:00:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Conservative Party of Canada	Parti conservateur du Canada	Perez Hernandez	Surelys			27-Aug-21	11:30:00
24064	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Bloc Québécois	Bloc Québécois	Vaithyanathasarma	Shophika		(514) 978-7981	25-Aug-21	3:00:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	New Democratic Party	Nouveau Parti démocratique	Faour	Ali			27-Aug-21	2:00:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Free Party Canada	Parti Libre Canada	Flibotte	Micheline			30-Aug-21	5:00:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Bloc Québécois	Bloc Québécois	Lacharité	Manon D.			29-Aug-21	8:00:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	People's Party of Canada	Parti populaire du Canada	Léger	Louis			30-Aug-21	2:00:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Conservative Party of Canada	Parti conservateur du Canada	Petrari	Sarah			25-Aug-21	6:30:00
24065	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Liberal Party of Canada	Parti libéral du Canada	Robillard	Yves		(514) 972-7657	29-Aug-21	5:00:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Liberal Party of Canada	Parti libéral du Canada	Boucher	Caroline-Joan			26-Aug-21	4:00:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Free Party Canada	Parti Libre Canada	Desautels	Sébastien			29-Aug-21	8:30:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Conservative Party of Canada	Parti conservateur du Canada	Lepage	André			24-Aug-21	8:00:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	People's Party of Canada	Parti populaire du Canada	Pariseau	Sylvain			30-Aug-21	11:30:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	New Democratic Party	Nouveau Parti démocratique	Sansoucy	Brigitte			24-Aug-21	7:30:00
24066	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Bloc Québécois	Bloc Québécois	Savard-Tremblay	Simon-Pierre		(450) 768-2592	17-Aug-21	11:00:00
24067	Saint-Jean	Saint-Jean	Conservative Party of Canada	Parti conservateur du Canada	Benoit	Serge			25-Aug-21	8:00:00
24067	Saint-Jean	Saint-Jean	Free Party Canada	Parti Libre Canada	Cléroux	Jean-Charles			30-Aug-21	1:30:00
24067	Saint-Jean	Saint-Jean	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Duteau	Pierre			27-Aug-21	1:30:00
24067	Saint-Jean	Saint-Jean	New Democratic Party	Nouveau Parti démocratique	Fournier	Jeremy		(438) 494-7926	25-Aug-21	1:30:00
24067	Saint-Jean	Saint-Jean	Bloc Québécois	Bloc Québécois	Normandin	Christine			24-Aug-21	3:00:00
24067	Saint-Jean	Saint-Jean	Liberal Party of Canada	Parti libéral du Canada	Rioux	Jean			28-Aug-21	1:30:00
24067	Saint-Jean	Saint-Jean	Green Party of Canada	Le Parti Vert du Canada	V. Ryan	Leigh			30-Aug-21	4:00:00
24068	Saint-Laurent	Saint-Laurent	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Boutet	Ginette		(613) 792-4475	30-Aug-21	12:30:00
24068	Saint-Laurent	Saint-Laurent	New Democratic Party	Nouveau Parti démocratique	Devereaux	Nathan			26-Aug-21	1:00:00
24068	Saint-Laurent	Saint-Laurent	Liberal Party of Canada	Parti libéral du Canada	Lambropoulos	Emmanuella		(514) 375-5230	25-Aug-21	12:30:00
24068	Saint-Laurent	Saint-Laurent	Bloc Québécois	Bloc Québécois	Racicot	Florence			29-Aug-21	9:00:00
24068	Saint-Laurent	Saint-Laurent	Conservative Party of Canada	Parti conservateur du Canada	Serour	Richard			27-Aug-21	12:00:00
24068	Saint-Laurent	Saint-Laurent	People's Party of Canada	Parti populaire du Canada	Yablunovsky	Gregory			28-Aug-21	12:00:00
24069	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	New Democratic Party	Nouveau Parti démocratique	Di Tullio	Alicia			26-Aug-21	3:00:00
24069	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Conservative Party of Canada	Parti conservateur du Canada	Ialenti	Louis			26-Aug-21	4:30:00
24069	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Liberal Party of Canada	Parti libéral du Canada	Lattanzio	Patricia		(514) 252-1963	25-Aug-21	4:00:00
24069	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Bloc Québécois	Bloc Québécois	Massey	Laurence			30-Aug-21	1:30:00
24069	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	People's Party of Canada	Parti populaire du Canada	Ritacca	Daniele			28-Aug-21	7:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Marijuana Party	Parti Marijuana	Beaumont Tremblay	Hugo			25-Aug-21	12:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	New Democratic Party	Nouveau Parti démocratique	Bergeron	Valérie			25-Aug-21	11:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Conservative Party of Canada	Parti conservateur du Canada	Bouchard	Jacques			28-Aug-21	3:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Bloc Québécois	Bloc Québécois	Bruneau	Jacynthe			29-Aug-21	6:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Liberal Party of Canada	Parti libéral du Canada	Champagne	François-Philippe		(819) 489-0245	26-Aug-21	4:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Parti Rhinocéros Party	Parti Rhinocéros Party	Frazer	Dji-Pé			25-Aug-21	8:00:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Green Party of Canada	Le Parti Vert du Canada	Gaudet	Marie-Claude			29-Aug-21	8:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Independent	Indépendant(e)	Magnan	Alain			27-Aug-21	5:30:00
24070	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Free Party Canada	Parti Libre Canada	Rouleau	Marie Gabrielle			30-Aug-21	5:00:00
24071	Salaberry--Suroît	Salaberry--Suroît	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Bertrand	Luc			25-Aug-21	9:00:00
24071	Salaberry--Suroît	Salaberry--Suroît	Conservative Party of Canada	Parti conservateur du Canada	Collette	Jean			25-Aug-21	11:00:00
24071	Salaberry--Suroît	Salaberry--Suroît	Bloc Québécois	Bloc Québécois	Debellefeuille	Claude		(450) 371-4968	21-Aug-21	2:30:00
24071	Salaberry--Suroît	Salaberry--Suroît	Liberal Party of Canada	Parti libéral du Canada	Gallant	Linda			26-Aug-21	8:00:00
24071	Salaberry--Suroît	Salaberry--Suroît	New Democratic Party	Nouveau Parti démocratique	Gottman	Joan			28-Aug-21	9:00:00
24071	Salaberry--Suroît	Salaberry--Suroît	Free Party Canada	Parti Libre Canada	Goyette	Marcel			30-Aug-21	12:30:00
24071	Salaberry--Suroît	Salaberry--Suroît	People's Party of Canada	Parti populaire du Canada	Thivierge	Nicolas			24-Aug-21	9:00:00
24072	Shefford	Shefford	Parti pour l'Indépendance du Québec	Parti pour l'Indépendance du Québec	Beaudry-Graham	Jean-Philippe			29-Aug-21	8:00:00
24072	Shefford	Shefford	Liberal Party of Canada	Parti libéral du Canada	Breton	Pierre		(450) 375-2929	24-Aug-21	10:30:00
24072	Shefford	Shefford	Marijuana Party	Parti Marijuana	Brisebois	Yannick			30-Aug-21	8:30:00
24072	Shefford	Shefford	New Democratic Party	Nouveau Parti démocratique	Jasmin	Patrick			27-Aug-21	2:30:00
24072	Shefford	Shefford	Free Party Canada	Parti Libre Canada	Lacroix	Joel		(438) 938-4802	31-Aug-21	12:30:00
24072	Shefford	Shefford	Conservative Party of Canada	Parti conservateur du Canada	Lalancette	Céline		(450) 920-0632	27-Aug-21	12:00:00
24072	Shefford	Shefford	Bloc Québécois	Bloc Québécois	Larouche	Andréanne			21-Aug-21	6:00:00
24072	Shefford	Shefford	Green Party of Canada	Le Parti Vert du Canada	Morin	Mathieu			29-Aug-21	12:00:00
24072	Shefford	Shefford	People's Party of Canada	Parti populaire du Canada	Schieder	Gerda			26-Aug-21	11:10:00
24073	Sherbrooke	Sherbrooke	Green Party of Canada	Le Parti Vert du Canada	Berger	Marie-Clarisse			28-Aug-21	3:00:00
24073	Sherbrooke	Sherbrooke	Free Party Canada	Parti Libre Canada	BOIVIN	Maxime		(514) 249-3970	30-Aug-21	4:00:00
24073	Sherbrooke	Sherbrooke	Liberal Party of Canada	Parti libéral du Canada	Brière	Élisabeth			26-Aug-21	10:00:00
24073	Sherbrooke	Sherbrooke	Bloc Québécois	Bloc Québécois	Haidar	Ensaf		(819) 446-7968	26-Aug-21	3:00:00
24073	Sherbrooke	Sherbrooke	New Democratic Party	Nouveau Parti démocratique	Lalime	Marika			27-Aug-21	3:30:00
24073	Sherbrooke	Sherbrooke	People's Party of Canada	Parti populaire du Canada	Niculescu	Marcela			27-Aug-21	4:00:00
24073	Sherbrooke	Sherbrooke	Conservative Party of Canada	Parti conservateur du Canada	Winters	Andrea			26-Aug-21	7:30:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	New Democratic Party	Nouveau Parti démocratique	Brake	Niklas			29-Aug-21	6:30:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	Conservative Party of Canada	Parti conservateur du Canada	Cox	Karen		(514) 236-7769	27-Aug-21	5:00:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	Free Party Canada	Parti Libre Canada	Destrempes	Ginette			30-Aug-21	9:00:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	Liberal Party of Canada	Parti libéral du Canada	Schiefke	Peter		(514) 802-8815	27-Aug-21	9:00:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	Green Party of Canada	Le Parti Vert du Canada	Stiff	Cameron			31-Aug-21	1:30:00
24074	Vaudreuil--Soulanges	Vaudreuil--Soulanges	Bloc Québécois	Bloc Québécois	Vadnais-Lapierre	Thierry			30-Aug-21	12:30:00
24075	Terrebonne	Terrebonne	No Affiliation	Aucune appartenance	Boudrias	Michel			21-Aug-21	4:00:00
24075	Terrebonne	Terrebonne	Conservative Party of Canada	Parti conservateur du Canada	Desjardins	Frédérick		(450) 312-0248	27-Aug-21	12:00:00
24075	Terrebonne	Terrebonne	Liberal Party of Canada	Parti libéral du Canada	Forget	Eric			29-Aug-21	7:00:00
24075	Terrebonne	Terrebonne	Free Party Canada	Parti Libre Canada	Fortin-Dubé	Nathan		(438) 459-8911	30-Aug-21	7:00:00
24075	Terrebonne	Terrebonne	Green Party of Canada	Le Parti Vert du Canada	Hamelin- Schuilenburg	David			30-Aug-21	2:00:00
24075	Terrebonne	Terrebonne	New Democratic Party	Nouveau Parti démocratique	Mayba	Luke			24-Aug-21	9:00:00
24075	Terrebonne	Terrebonne	Bloc Québécois	Bloc Québécois	Sinclair-Desgagné	Nathalie		(438) 494-4413	21-Aug-21	4:00:00
24075	Terrebonne	Terrebonne	People's Party of Canada	Parti populaire du Canada	Stinziani	Louis			24-Aug-21	8:30:00
24076	Trois-Rivières	Trois-Rivières	Free Party Canada	Parti Libre Canada	Brodeur	Gilles			30-Aug-21	9:30:00
24076	Trois-Rivières	Trois-Rivières	Liberal Party of Canada	Parti libéral du Canada	Francoeur	Martin		(819) 266-2592	23-Aug-21	7:00:00
24076	Trois-Rivières	Trois-Rivières	Green Party of Canada	Le Parti Vert du Canada	Holman	Andrew			30-Aug-21	5:30:00
24076	Trois-Rivières	Trois-Rivières	People's Party of Canada	Parti populaire du Canada	Landry	Jean			22-Aug-21	8:00:00
24076	Trois-Rivières	Trois-Rivières	Conservative Party of Canada	Parti conservateur du Canada	Levesque	Yves			23-Aug-21	12:30:00
24076	Trois-Rivières	Trois-Rivières	New Democratic Party	Nouveau Parti démocratique	Simidzija	Adis			24-Aug-21	3:30:00
24076	Trois-Rivières	Trois-Rivières	Bloc Québécois	Bloc Québécois	Villemure	René			28-Aug-21	7:30:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Green Party of Canada	Le Parti Vert du Canada	Charbonneau-Lavictoire	Cynthia			29-Aug-21	6:30:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	People's Party of Canada	Parti populaire du Canada	Dubé	Denise			20-Aug-21	8:00:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Liberal Party of Canada	Parti libéral du Canada	Miller	Marc		(514) 532-0840	24-Aug-21	12:00:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Bloc Québécois	Bloc Québécois	Orihuela-Bouchard	Soledad			26-Aug-21	10:30:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Conservative Party of Canada	Parti conservateur du Canada	Shanahan	Steve			21-Aug-21	4:30:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Sullivan	Linda		(613) 792-4475	26-Aug-21	2:00:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	New Democratic Party	Nouveau Parti démocratique	Thiébaut	Sophie			26-Aug-21	3:00:00
24077	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Marijuana Party	Parti Marijuana	Vargas	Hans Armando			31-Aug-21	5:00:00
24078	Vimy	Vimy	New Democratic Party	Nouveau Parti démocratique	Aliev	Vassif			28-Aug-21	9:30:00
24078	Vimy	Vimy	Bloc Québécois	Bloc Québécois	Bandou	Rachid			30-Aug-21	9:30:00
24078	Vimy	Vimy	Conservative Party of Canada	Parti conservateur du Canada	EL-HELOU	Rima			28-Aug-21	1:30:00
24078	Vimy	Vimy	Liberal Party of Canada	Parti libéral du Canada	Koutrakis	Annie			28-Aug-21	2:00:00
24078	Vimy	Vimy	People's Party of Canada	Parti populaire du Canada	Morales-Loaiza	Alejandro			29-Aug-21	10:30:00
35001	Ajax	Ajax	Conservative Party of Canada	Parti conservateur du Canada	AWAN	ARSHAD		(647) 878-4679	24-Aug-21	7:30:00
35001	Ajax	Ajax	Liberal Party of Canada	Parti libéral du Canada	Holland	Mark		(647) 910-6275	25-Aug-21	8:00:00
35001	Ajax	Ajax	New Democratic Party	Nouveau Parti démocratique	Hughes	Monique			30-Aug-21	4:00:00
35001	Ajax	Ajax	Green Party of Canada	Le Parti Vert du Canada	Paulseth	Leigh			25-Aug-21	2:30:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Baarda	Clarence			23-Aug-21	2:00:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	New Democratic Party	Nouveau Parti démocratique	Hughes	Carol		(705) 261-2622	25-Aug-21	5:00:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	People's Party of Canada	Parti populaire du Canada	Jaaskelainen	Harry			30-Aug-21	7:00:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Liberal Party of Canada	Parti libéral du Canada	Peltier	Duke			26-Aug-21	1:00:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Conservative Party of Canada	Parti conservateur du Canada	Sagman	John			24-Aug-21	11:00:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Green Party of Canada	Le Parti Vert du Canada	Zimmermann	Stephen			23-Aug-21	10:00:00
35003	Aurora--Oak Ridges--Richmond Hill	Aurora--Oak Ridges--Richmond Hill	Conservative Party of Canada	Parti conservateur du Canada	ALLESLEV	Leona			21-Aug-21	1:30:00
35003	Aurora--Oak Ridges--Richmond Hill	Aurora--Oak Ridges--Richmond Hill	New Democratic Party	Nouveau Parti démocratique	Hagan	Janice			29-Aug-21	9:00:00
